timestep,mean_reward,std_reward,elapsed_sec
5000,-103.1973856,9.746609084463131,4.4120962290035095
10000,-106.07747799999997,12.926463571845698,7.933104517003812
15000,-103.5858422,2.843212518168129,33.0720101400002
20000,-100.96696229999999,2.1260653226830577,51.22628845000145
25000,-117.0365878,9.008113501302878,69.41075827700115
30000,-79.0931652,11.635804641423892,93.05335237299732
35000,-119.00911579999999,4.7786156442191885,118.02337341100065
40000,-109.0071214,25.651998155790984,141.1541347329985
45000,-65.54311170000001,5.506121650392863,166.3376868799969
50000,-124.76733510000001,5.438918769345474,184.6241405969995
55000,-115.17164089999999,12.456298359515891,203.372978970001
60000,-130.54706549999997,21.14599044997757,226.18801513400103
65000,-112.3431926,6.298407762071733,251.46241076599836
70000,-102.84539869999999,2.8857470856701903,269.8684725740022
75000,-76.5172244,26.061089672428654,292.9676689100015
80000,-111.428927,10.228781830622816,312.7924891319999
85000,-114.7769509,9.270921934977974,337.8915442790021
90000,-81.20549400000002,4.677930212436053,363.09472491199995
95000,-71.17459960000001,1.78327788432909,388.19207772400114
100000,-118.9308609,10.314802811759709,408.7811275819986
105000,-95.9524846,11.462386693543422,433.143024211
110000,-112.09527870000002,13.570249464672125,453.6120794590024
115000,-73.20959239999999,19.60717232782532,478.85004104600375
120000,-109.195887,26.04624322415898,503.02022985200165
125000,-102.85050469999999,20.996859036611085,525.301708963998
130000,-72.4985221,31.097946742105062,548.2192196210017
135000,-82.9507845,17.60426053497828,573.1870777329968
140000,-23.0552819,24.70185670595057,598.0374827240012
145000,-84.9290086,23.47569378511708,619.9258631699995
150000,-68.07107219999999,32.664916565764756,641.6654035000029
155000,-28.6404397,61.595590426252755,663.8609237780038
160000,24.411381100000003,13.606450922693105,688.9136586899986
165000,-31.788739300000003,31.307434342131483,713.2172830749987
170000,-20.0606072,28.78359893704824,737.5447948349974
175000,-39.7465357,36.46210248307608,761.7336077330037
180000,-67.17654769999999,6.932122811753195,786.7706293189985
185000,-60.39653410000001,15.512274542750374,811.7500196679975
190000,-68.0231126,15.485024627265185,836.3058742529975
195000,-43.207947499999996,54.30946803557422,858.1134781509973
200000,-43.4083284,43.0068320436536,880.792580497
