timestep,mean_reward,std_reward,elapsed_sec
5000,0.999,0.9790602637223106,2.319710722003947
10000,1.7500000000000007,0.9993698014248784,4.646084462990984
15000,1.4585000000000001,0.9198003859533872,7.02253533199837
20000,1.497,1.1135982219813394,9.307716941999388
25000,2.0830000000000006,0.8780210703622096,11.618519341995125
30000,2.4645,1.296049671116042,13.962077315998613
35000,2.1875,1.1960178719400474,16.239082825995865
40000,1.6310000000000002,1.043886488081918,18.541594719004934
45000,2.3579999999999997,1.1459170999684052,20.809000003995607
50000,2.8175,1.4308594445297553,23.056724794005277
55000,3.1895,0.9273590189349534,25.324798688001465
60000,3.1599999999999997,0.7552946444931274,27.60970386400004
65000,3.5204999999999993,0.7028618285267734,29.896828999000718
70000,3.4799999999999995,0.9598281096112986,32.09311247100413
75000,3.854999999999998,0.6474604235009267,34.25732598500326
80000,4.081999999999999,0.0459999999999996,36.40576889499789
85000,3.7064999999999992,0.8205990190098936,38.563604160997784
90000,3.760499999999999,0.670167702892343,40.72102118500334
95000,4.0859999999999985,0.05190375708944324,42.8323896649963
100000,4.013499999999999,0.25171958604764905,44.959304659991176
105000,4.099499999999999,0.04306680856529689,47.22661656299897
110000,4.075499999999999,0.05783381363873463,49.43825986099546
115000,4.0634999999999994,0.08174808866267083,51.5421281309973
120000,4.074999999999998,0.05229722745997101,53.81217557199125
125000,4.0589999999999975,0.08342062095189597,55.91179293199093
130000,4.087999999999999,0.045563142999577484,57.9618456850003
135000,3.9884999999999993,0.3007370113570975,60.06625345700013
140000,4.078999999999999,0.08814193099768063,62.18315958000312
145000,3.9429999999999987,0.4912138027376672,64.29653439500544
150000,3.8554999999999984,0.9381709599001662,66.42867127199133
155000,3.9374999999999987,0.6840604870916018,68.54223313399416
160000,3.9599999999999986,0.5625833271614078,70.62449710599321
165000,3.9014999999999986,0.8017685139739521,72.72671520500444
170000,4.020499999999998,0.3225286808952012,74.81076029999531
175000,4.0665,0.08621339803069997,76.87964872199518
180000,4.0714999999999995,0.06894019147057737,78.94323654800246
185000,3.936999999999999,0.5752573337211788,81.01676098999451
190000,4.025499999999999,0.29404889049272065,83.09546078600397
195000,3.7615000000000003,0.7820119883991543,85.14530580899736
200000,4.098499999999999,0.04574658457196489,87.20430592399498
200000,3.095499999999999,1.473955477617963,87.44422223899164
