timestep,mean_reward,std_reward,elapsed_sec
5000,2.7295,1.5393812880504947,41.87147434899816
10000,3.0665,1.2014627543124254,44.048619344001054
15000,3.3549999999999995,1.0637645416162353,46.181724346999545
20000,3.1945,1.089157816847494,48.35137253900757
25000,3.3815,0.9508379199421947,50.51372786900902
30000,3.4699999999999998,1.0009695300057835,52.64638032100629
35000,3.2114999999999996,1.1604364480659848,54.87083193499711
40000,3.4749999999999988,0.9787670815878513,57.045055216003675
45000,3.6984999999999992,0.6701662107268611,59.223662561009405
50000,3.9004999999999983,0.5244470898002961,61.347344141002395
55000,4.022,0.22495777381544294,63.47661204400356
60000,3.9114999999999993,0.6785151066851788,65.54374177100544
65000,4.064,0.028705400188814366,67.61222670599818
70000,4.012499999999999,0.22358164057006114,69.7313540000032
75000,4.063499999999999,0.04245880356298271,71.80242805699527
80000,4.0695,0.04831925082200589,73.84872289700434
85000,4.052999999999999,0.06025777958073038,75.90216947199951
90000,4.0634999999999994,0.06482862022286037,77.91348504500638
95000,4.075499999999999,0.02819131071802069,79.94672864599852
100000,3.906999999999999,0.5124460947260691,82.06199128599837
100000,4.084999999999998,0.0573149195236275,82.26515606800967
