timestep,mean_reward,std_reward,elapsed_sec
5000,1.3774999999999997,0.9540276463499368,3.1507099669979652
10000,1.9915000000000003,1.1540202554548165,5.355944021997857
15000,2.3280000000000007,1.367243943120613,7.723035456001526
20000,2.094500000000001,0.7878799083616747,9.931798691992299
25000,2.746,1.1049859727616458,12.263487713993527
30000,3.0260000000000002,1.2387025470224884,14.375627795991022
35000,2.9630000000000005,1.1980279629457737,16.75455117999809
40000,2.999999999999999,1.2562245022288014,18.97310461899906
45000,2.5184999999999995,1.319356945636775,21.131271783000557
50000,2.7489999999999997,1.6029656889653001,23.419049416988855
55000,2.8315,1.397437923487122,25.59396839598776
60000,3.5204999999999997,1.1079371597703542,27.846484971989412
65000,3.599499999999999,1.0092941840712248,29.990976929999306
70000,3.6895,1.0106407620910605,32.261011770999175
75000,3.695499999999999,0.9258157214046427,34.29507229400042
80000,3.7399999999999984,1.0168284024357301,36.482353151994175
85000,4.028499999999999,0.23369370979981424,38.497815194990835
90000,4.103999999999999,0.05247856705360712,40.47043873499206
95000,4.077499999999999,0.05923470266659512,42.589913856994826
100000,4.1019999999999985,0.05297169055259539,44.67447077399993
105000,4.1019999999999985,0.054369108876271846,46.92319205700187
110000,4.095999999999998,0.05209606511052363,48.95506189099979
115000,4.084999999999999,0.06499999999999971,51.08625672799826
120000,3.933999999999999,0.5187041546006739,53.039411627993104
125000,3.873999999999998,1.0394104097997092,55.21645577599702
130000,3.9194999999999984,0.7928459812599165,57.2842029829917
135000,4.068,0.1147431915191472,59.24466728098923
140000,4.105499999999998,0.08297439364044748,61.43569691599987
145000,4.018499999999998,0.34845767318283877,63.445864244000404
150000,3.9114999999999993,0.6225132528709721,65.58548493399576
155000,4.070999999999999,0.064490309349544,67.70973614399554
160000,4.092999999999999,0.05367494760127787,69.88689730399346
165000,4.090999999999999,0.06714908785679723,71.86761947099876
170000,3.8929999999999985,0.8003193112751931,74.39739092599484
175000,3.6819999999999995,0.9799673463947657,76.81474742299179
180000,4.0485,0.1353246097352573,78.92299273199751
185000,3.7689999999999997,0.8094498131447054,81.13306144200033
190000,4.113999999999998,0.035832945734337165,83.11617125099292
195000,3.9859999999999993,0.3426572631653944,85.47001586099213
200000,3.976999999999999,0.5864904091287425,87.49441608399502
200000,3.259499999999999,1.3751162678115612,88.15141614199092
